num_rows,load_time,preprocess_time,query_time,cumulative_time,original_rows,original_patients,result_rows,result_patients,notes
10,5.326510231000005,10.215999817999997,0.13751317900000012,15.680023228000001,10,1,2,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=138911248384, percent=65.6, used=262392270848, free=55033438208, active=42761691136, inactive=296109449216, buffers=3077640192, cached=83611033600, shared=71008256, slab=8189861888), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.318111111111112, min=1200.0, max=3700.0), 'cores': 36}"
50,5.326510231000005,10.215999817999997,0.12126538999999997,15.663775439,50,1,9,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=139581890560, percent=65.5, used=261721628672, free=55704080384, active=42761691136, inactive=295403032576, buffers=3077640192, cached=83611033600, shared=71008256, slab=8189861888), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.424472222222223, min=1200.0, max=3700.0), 'cores': 36}"
100,5.326510231000005,10.215999817999997,0.109773617,15.652283666,100,1,17,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=140007690240, percent=65.4, used=261295828992, free=56129880064, active=42761691136, inactive=294980636672, buffers=3077640192, cached=83611033600, shared=71008256, slab=8189861888), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.245083333333334, min=1200.0, max=3700.0), 'cores': 36}"
500,5.326510231000005,10.215999817999997,0.10146513900000008,15.643975188,500,1,21,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=140236857344, percent=65.3, used=261066661888, free=56359047168, active=42761691136, inactive=294732181504, buffers=3077640192, cached=83611033600, shared=71008256, slab=8189861888), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.222694444444445, min=1200.0, max=3700.0), 'cores': 36}"
1000,5.326510231000005,10.215999817999997,0.10989836599999997,15.652408415,1000,1,21,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=140479422464, percent=65.2, used=260824096768, free=56601612288, active=42761691136, inactive=294483914752, buffers=3077640192, cached=83611033600, shared=71008256, slab=8189861888), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.221194444444445, min=1200.0, max=3700.0), 'cores': 36}"
5000,5.326510231000005,10.215999817999997,0.169540859,15.712050908,5000,1,21,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=141109481472, percent=65.1, used=260194037760, free=57231671296, active=42761691136, inactive=293815148544, buffers=3077640192, cached=83611033600, shared=71008256, slab=8190222336), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2000000000000004, min=1200.0, max=3700.0), 'cores': 36}"
10000,5.326510231000005,10.215999817999997,0.15946744700000004,15.701977496000001,10000,1,21,1,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=141728477184, percent=64.9, used=259575046144, free=57850585088, active=42761695232, inactive=293166575616, buffers=3077640192, cached=83611111424, shared=71008256, slab=8190210048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.7254722222222232, min=1200.0, max=3700.0), 'cores': 36}"
50000,5.326510231000005,10.215999817999997,0.18196129999999994,15.724471349,50000,4,38,4,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142443372544, percent=64.8, used=258860150784, free=58565480448, active=42761707520, inactive=292415328256, buffers=3077640192, cached=83611111424, shared=71008256, slab=8190210048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.421250000000001, min=1200.0, max=3700.0), 'cores': 36}"
100000,5.326510231000005,10.215999817999997,0.09250176599999996,15.635011815,100000,6,47,6,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142443114496, percent=64.8, used=258860408832, free=58565222400, active=42761707520, inactive=292411641856, buffers=3077640192, cached=83611111424, shared=71008256, slab=8190210048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.211805555555556, min=1200.0, max=3700.0), 'cores': 36}"
500000,5.326510231000005,10.215999817999997,0.23485800100000018,15.777368050000002,500000,36,179,35,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142790565888, percent=64.7, used=258512957440, free=58912673792, active=42761707520, inactive=292080930816, buffers=3077640192, cached=83611111424, shared=71008256, slab=8190210048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.3407500000000003, min=1200.0, max=3700.0), 'cores': 36}"
