CMDLINE python run_profiling.py
MEM 0.003906 1712966887.5113
MEM 30.921875 1712966887.6115
MEM 70.765625 1712966887.7117
MEM 86.375000 1712966887.8119
MEM 107.125000 1712966887.9122
MEM 225.996094 1712966888.0125
MEM 269.210938 1712966888.1128
MEM 291.832031 1712966888.2131
MEM 310.640625 1712966888.3134
MEM 362.898438 1712966888.4136
MEM 380.023438 1712966888.5139
MEM 387.640625 1712966888.6142
MEM 396.882812 1712966888.7144
MEM 409.085938 1712966888.8147
MEM 413.289062 1712966888.9150
MEM 422.617188 1712966889.0153
MEM 425.246094 1712966889.1157
MEM 431.722656 1712966889.2159
MEM 437.445312 1712966889.3162
MEM 439.320312 1712966889.4165
MEM 446.191406 1712966889.5168
MEM 453.679688 1712966889.6170
MEM 465.984375 1712966889.7173
MEM 471.253906 1712966889.8176
MEM 479.320312 1712966889.9179
MEM 1172.781250 1712966890.0182
MEM 1450.062500 1712966890.1184
MEM 1658.136719 1712966890.2189
MEM 2649.164062 1712966890.3193
MEM 3858.492188 1712966890.4197
MEM 5163.687500 1712966890.5201
MEM 6502.460938 1712966890.6205
MEM 7862.078125 1712966890.7208
MEM 9236.085938 1712966890.8213
MEM 10611.625000 1712966890.9216
MEM 11880.488281 1712966891.0220
MEM 13238.070312 1712966891.1224
MEM 14565.191406 1712966891.2227
MEM 15933.386719 1712966891.3231
MEM 17314.148438 1712966891.4235
MEM 18699.785156 1712966891.5239
MEM 20077.292969 1712966891.6243
MEM 21477.628906 1712966891.7247
MEM 22230.015625 1712966891.8250
MEM 22230.085938 1712966891.9253
MEM 22229.687500 1712966892.0256
MEM 22224.644531 1712966892.1258
MEM 21321.828125 1712966892.2264
MEM 23019.007812 1712966892.3269
MEM 24849.476562 1712966892.4273
MEM 26686.648438 1712966892.5278
MEM 28514.023438 1712966892.6285
MEM 30350.937500 1712966892.7290
MEM 32187.851562 1712966892.8295
MEM 34023.476562 1712966892.9299
MEM 35860.648438 1712966893.0304
MEM 37566.593750 1712966893.1308
MEM 38576.187500 1712966893.2312
MEM 38923.460938 1712966893.3317
MEM 39270.218750 1712966893.4320
MEM 39618.265625 1712966893.5324
MEM 39924.289062 1712966893.6328
MEM 40021.187500 1712966893.7331
MEM 38973.804688 1712966893.8333
MEM 37678.054688 1712966893.9337
MEM 36368.695312 1712966894.0341
MEM 35306.691406 1712966894.1343
MEM 34151.523438 1712966894.2346
MEM 32802.613281 1712966894.3350
MEM 31607.828125 1712966894.4352
MEM 30024.402344 1712966894.5355
MEM 28817.984375 1712966894.6358
MEM 27691.570312 1712966894.7360
MEM 26275.347656 1712966894.8363
MEM 25044.843750 1712966894.9366
MEM 25200.496094 1712966895.0369
MEM 25246.183594 1712966895.1373
MEM 24620.925781 1712966895.2378
MEM 25133.031250 1712966895.3383
MEM 26289.156250 1712966895.4387
MEM 28254.718750 1712966895.5391
MEM 30238.585938 1712966895.6395
MEM 32219.125000 1712966895.7399
MEM 34105.640625 1712966895.8403
MEM 35214.511719 1712966895.9407
MEM 35542.980469 1712966896.0411
MEM 35816.492188 1712966896.1414
MEM 35691.238281 1712966896.2418
MEM 34704.953125 1712966896.3421
MEM 35350.988281 1712966896.4424
MEM 36082.972656 1712966896.5428
MEM 36066.355469 1712966896.6432
MEM 35529.085938 1712966896.7435
MEM 35181.718750 1712966896.8438
MEM 34730.511719 1712966896.9440
MEM 34179.800781 1712966897.0444
MEM 33641.664062 1712966897.1447
MEM 33271.949219 1712966897.2449
MEM 32807.468750 1712966897.3452
MEM 32253.203125 1712966897.4455
MEM 31902.542969 1712966897.5458
MEM 31429.824219 1712966897.6461
MEM 30930.839844 1712966897.7466
MEM 30514.214844 1712966897.8470
MEM 30034.332031 1712966897.9473
MEM 29761.359375 1712966898.0476
MEM 29242.691406 1712966898.1480
MEM 28913.722656 1712966898.2484
MEM 28367.679688 1712966898.3487
MEM 27851.980469 1712966898.4491
